id,modern,unicode,traditional_or_variants,traditional_unicode,variant_unicodes,pinyin,radical,stroke_count,source_work,source_note,brief_gloss,simple_annotation,common_words,xinhua_base_status,shape_status,meaning_status,phonology_status,review_status,review_tags,review_notes
408,格,U+683C,格,,,ge2,木,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,格式|标准|品格|阻碍或推究,格：现代主要用于表示格式；标准；品格；阻碍或推究。常见用法如：价格、资格、格式、风格、格外。,价格|资格|格式|风格|格外,draft,pending,pending,pending,none,history_pending,
409,界,U+754C,界,,,jie4,田,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,边界|范围|行业或领域,界：现代主要用于表示边界；范围；行业或领域。常见用法如：世界、界限、边界、各界、外界。,世界|界限|边界|各界|外界,draft,pending,pending,pending,none,history_pending,
410,确,U+786E,確,U+78BA,確:U+78BA,que4,石,12,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,真实可靠|坚固|明确,确：现代主要用于表示真实可靠；坚固；明确。常见用法如：确定、正确、确实、准确、明确。,确定|正确|确实|准确|明确,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：確；需复核简繁对应、异体来源和义项是否完全合并。
411,精,U+7CBE,精,,,jing1,米,14,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,提炼纯净|精细|精神|精通,精：现代主要用于表示提炼纯净；精细；精神；精通。常见用法如：精神、精确、精力、精彩、精通。,精神|精确|精力|精彩|精通,draft,pending,pending,pending,none,history_pending,
412,建,U+5EFA,建,,,jian4,廴,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,建立|建造|提出,建：现代主要用于表示建立；建造；提出。常见用法如：建设、建立、建筑、建议、创建。,建设|建立|建筑|建议|创建,draft,pending,pending,pending,none,history_pending,
413,设,U+8BBE,設,U+8A2D,設:U+8A2D,she4,讠,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,设立|安排|假定|设备,设：现代主要用于表示设立；安排；假定；设备。常见用法如：建设、设计、设备、设法、假设。,建设|设计|设备|设法|假设,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：設；需复核简繁对应、异体来源和义项是否完全合并。
414,华,U+534E,華,U+83EF,華:U+83EF,hua2|hua4|hua1,十,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,光彩|繁盛|中国相关称谓|姓氏或山名读音,华：现代主要用于表示光彩；繁盛；中国相关称谓；姓氏或山名读音。常见用法如：中华、华丽、华人、华山、年华。,中华|华丽|华人|华山|年华,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：hua2、hua4、hua1；需按义项和常用词复核读音排序。|含繁体/异体：華；需复核简繁对应、异体来源和义项是否完全合并。
415,素,U+7D20,素,,,su4,糸,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,本色或白色|朴素|向来|构成事物的基本成分,素：现代主要用于表示本色或白色；朴素；向来；构成事物的基本成分。常见用法如：因素、元素、素质、朴素、平素。,因素|元素|素质|朴素|平素,draft,pending,pending,pending,none,history_pending,
416,青,U+9752,青,,,qing1,青,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,蓝绿或黑色一类颜色|年轻|青草,青：现代主要用于表示蓝绿或黑色一类颜色；年轻；青草。常见用法如：青年、青色、青春、青草、青山。,青年|青色|青春|青草|青山,draft,pending,pending,pending,none,history_pending,
417,亲,U+4EB2,親,U+89AA,親:U+89AA,qin1|qing4,亠,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,亲近|亲属|亲自|婚姻亲属读音,亲：现代主要用于表示亲近；亲属；亲自；婚姻亲属读音。常见用法如：亲人、亲自、亲切、父亲、亲家。,亲人|亲自|亲切|父亲|亲家,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：qin1、qing4；需按义项和常用词复核读音排序。|含繁体/异体：親；需复核简繁对应、异体来源和义项是否完全合并。
418,近,U+8FD1,近,,,jin4,辶,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,距离短|时间不久|接近,近：现代主要用于表示距离短；时间不久；接近。常见用法如：附近、最近、近处、接近、亲近。,附近|最近|近处|接近|亲近,draft,pending,pending,pending,none,history_pending,
419,远,U+8FDC,遠,U+9060,遠:U+9060,yuan3|yuan4,辶,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,距离长|时间久|差距大|避开读音,远：现代主要用于表示距离长；时间久；差距大；避开读音。常见用法如：远方、永远、远近、远离、深远。,远方|永远|远近|远离|深远,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：yuan3、yuan4；需按义项和常用词复核读音排序。|含繁体/异体：遠；需复核简繁对应、异体来源和义项是否完全合并。
420,克,U+514B,克,,,ke4,儿,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,能胜任|战胜|克制|重量单位,克：现代主要用于表示能胜任；战胜；克制；重量单位。常见用法如：克服、克制、千克、攻克、克敌。,克服|克制|千克|攻克|克敌,draft,pending,pending,pending,none,history_pending,
421,参,U+53C2,參,U+53C3,參:U+53C3,can1|shen1|cen1,厶,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,加入|参考|进见|人参或参差读音,参：现代主要用于表示加入；参考；进见；人参或参差读音。常见用法如：参加、参考、参观、人参、参差。,参加|参考|参观|人参|参差,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：can1、shen1、cen1；需按义项和常用词复核读音排序。|含繁体/异体：參；需复核简繁对应、异体来源和义项是否完全合并。
422,完,U+5B8C,完,,,wan2,宀,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,完整|结束|完成|完好,完：现代主要用于表示完整；结束；完成；完好。常见用法如：完成、完美、完全、完了、完好。,完成|完美|完全|完了|完好,draft,pending,pending,pending,none,history_pending,
423,即,U+5373,即,,,ji2,卩,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,靠近|就是|立即|即使,即：现代主要用于表示靠近；就是；立即；即使。常见用法如：即使、立即、即将、即日、即便。,即使|立即|即将|即日|即便,draft,pending,pending,pending,none,history_pending,
424,却,U+5374,卻,U+537B,卻:U+537B,que4,卩,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,退|推辞|反而|表示转折,却：现代主要用于表示退；推辞；反而；表示转折。常见用法如：却是、退却、忘却、推却、冷却。,却是|退却|忘却|推却|冷却,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：卻；需复核简繁对应、异体来源和义项是否完全合并。
425,算,U+7B97,算,,,suan4,竹,14,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,计算|计划|当作|总算,算：现代主要用于表示计算；计划；当作；总算。常见用法如：计算、打算、算术、预算、总算。,计算|打算|算术|预算|总算,draft,pending,pending,pending,none,history_pending,
426,义,U+4E49,義,U+7FA9,義:U+7FA9,yi4,丶,3,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,公正合宜的道理|意义|情谊|人工或假的,义：现代主要用于表示公正合宜的道理；意义；情谊；人工或假的。常见用法如：意义、主义、义务、正义、义气。,意义|主义|义务|正义|义气,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：義；需复核简繁对应、异体来源和义项是否完全合并。
427,类,U+7C7B,類,U+985E,類:U+985E,lei4,米,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,种类|相似|类别,类：现代主要用于表示种类；相似；类别。常见用法如：种类、人类、分类、类似、类别。,种类|人类|分类|类似|类别,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：類；需复核简繁对应、异体来源和义项是否完全合并。
428,制,U+5236,制,,,zhi4,刂,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,制造|规定|制度|控制,制：现代主要用于表示制造；规定；制度；控制。常见用法如：制度、控制、制造、制作、限制。,制度|控制|制造|制作|限制,draft,pending,pending,pending,none,history_pending,
429,权,U+6743,權,U+6B0A,權:U+6B0A,quan2,木,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,权力|权利|权衡|临时变通,权：现代主要用于表示权力；权利；权衡；临时变通。常见用法如：权利、权力、政权、权益、权威。,权利|权力|政权|权益|权威,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：權；需复核简繁对应、异体来源和义项是否完全合并。
430,保,U+4FDD,保,,,bao3,亻,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,保护|保持|保证|担保,保：现代主要用于表示保护；保持；保证；担保。常见用法如：保护、保证、保持、保险、环保。,保护|保证|保持|保险|环保,draft,pending,pending,pending,none,history_pending,
431,共,U+5171,共,,,gong4|gong1,八,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,共同|总共|共产相关简称|恭敬古义读音,共：现代主要用于表示共同；总共；共产相关简称；恭敬古义读音。常见用法如：共同、总共、公共、共和国、共计。,共同|总共|公共|共和国|共计,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：gong4、gong1；需按义项和常用词复核读音排序。
432,系,U+7CFB,系|係|繫,U+7CFB,係:U+4FC2|繫:U+7E6B,xi4|ji4,糸,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,系统|关系|联结|拴绑读音,系：现代主要用于表示系统；关系；联结；拴绑读音。常见用法如：关系、系统、联系、系列、系上。,关系|系统|联系|系列|系上,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|simplified_merge_or_multi_variant|history_pending,多音字：xi4、ji4；需按义项和常用词复核读音排序。|含繁体/异体：係、繫；需复核简繁对应、异体来源和义项是否完全合并。|简化合并或多异体入口：系 对应 係、繫；历史层建议拆分来源线索。
433,收,U+6536,收,,,shou1,攵,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,把外物取进来|收藏|结束|获得,收：现代主要用于表示把外物取进来；收藏；结束；获得。常见用法如：收入、收到、收获、收藏、收拾。,收入|收到|收获|收藏|收拾,draft,pending,pending,pending,none,history_pending,
434,步,U+6B65,步,,,bu4,止,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,行走时两脚间的动作|阶段|地步|步量,步：现代主要用于表示行走时两脚间的动作；阶段；地步；步量。常见用法如：进步、脚步、一步、步骤、步行。,进步|脚步|一步|步骤|步行,draft,pending,pending,pending,none,history_pending,
435,运,U+8FD0,運,U+904B,運:U+904B,yun4,辶,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,移动输送|运行|命运|运动,运：现代主要用于表示移动输送；运行；命运；运动。常见用法如：运动、运输、运气、命运、运行。,运动|运输|运气|命运|运行,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：運；需复核简繁对应、异体来源和义项是否完全合并。
436,存,U+5B58,存,,,cun2,子,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,存在|保存|寄放|怀有,存：现代主要用于表示存在；保存；寄放；怀有。常见用法如：存在、保存、存款、生存、库存。,存在|保存|存款|生存|库存,draft,pending,pending,pending,none,history_pending,
437,满,U+6EE1,滿,U+6EFF,滿:U+6EFF,man3,氵,13,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,充足无空缺|达到限度|满足|骄傲,满：现代主要用于表示充足无空缺；达到限度；满足；骄傲。常见用法如：满意、充满、满分、满足、满族。,满意|充满|满分|满足|满族,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：滿；需复核简繁对应、异体来源和义项是否完全合并。
438,列,U+5217,列,,,lie4,刂,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,排列|行列|列举|众多,列：现代主要用于表示排列；行列；列举；众多。常见用法如：排列、系列、列车、列举、行列。,排列|系列|列车|列举|行列,draft,pending,pending,pending,none,history_pending,
439,便,U+4FBF,便,,,bian4|pian2,亻,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,方便|就|适宜|排泄|便宜读音,便：现代主要用于表示方便；就；适宜；排泄；便宜读音。常见用法如：方便、便是、便利、便宜、随便。,方便|便是|便利|便宜|随便,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：bian4、pian2；需按义项和常用词复核读音排序。
440,连,U+8FDE,連,U+9023,連:U+9023,lian2,辶,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,连接|连续|连同|军队编制,连：现代主要用于表示连接；连续；连同；军队编制。常见用法如：联系、连接、连续、连忙、连队。,联系|连接|连续|连忙|连队,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：連；需复核简繁对应、异体来源和义项是否完全合并。
441,议,U+8BAE,議,U+8B70,議:U+8B70,yi4,讠,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,商量|意见|议论,议：现代主要用于表示商量；意见；议论。常见用法如：会议、建议、议论、议题、协议。,会议|建议|议论|议题|协议,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：議；需复核简繁对应、异体来源和义项是否完全合并。
442,许,U+8BB8,許,U+8A31,許:U+8A31,xu3,讠,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,答应|允许|也许|表示约数,许：现代主要用于表示答应；允许；也许；表示约数。常见用法如：允许、许多、也许、许可、许愿。,允许|许多|也许|许可|许愿,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：許；需复核简繁对应、异体来源和义项是否完全合并。
443,认,U+8BA4,認,U+8A8D,認:U+8A8D,ren4,讠,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,认识|承认|认定|把关系确定下来,认：现代主要用于表示认识；承认；认定；把关系确定下来。常见用法如：认识、认为、认真、承认、认同。,认识|认为|认真|承认|认同,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：認；需复核简繁对应、异体来源和义项是否完全合并。
444,示,U+793A,示,,,shi4,示,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,表示|给人看|告知|神主祭祀古义相关,示：现代主要用于表示表示；给人看；告知；神主祭祀古义相关。常见用法如：表示、显示、指示、示范、提示。,表示|显示|指示|示范|提示,draft,pending,pending,pending,none,history_pending,
445,谁,U+8C01,誰,U+8AB0,誰:U+8AB0,shui2|shei2,讠,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,疑问代词|任何人,谁：现代主要用于表示疑问代词；任何人。常见用法如：是谁、谁人、谁家、谁知、谁都。,是谁|谁人|谁家|谁知|谁都,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：shui2、shei2；需按义项和常用词复核读音排序。|含繁体/异体：誰；需复核简繁对应、异体来源和义项是否完全合并。
446,哪,U+54EA,哪,,,na3|nei3|na5|ne2,口,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,疑问代词|表示反问|语气助词,哪：现代主要用于表示疑问代词；表示反问；语气助词。常见用法如：哪里、哪个、哪怕、哪儿、哪样。,哪里|哪个|哪怕|哪儿|哪样,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：na3、nei3、na5、ne2；需按义项和常用词复核读音排序。
447,吗,U+5417,嗎,U+55CE,嗎:U+55CE,ma5|ma3,口,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,疑问语气助词|吗啡等音译用字,吗：现代主要用于表示疑问语气助词；吗啡等音译用字。常见用法如：好吗、是吗、对吗、干吗、吗啡。,好吗|是吗|对吗|干吗|吗啡,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：ma5、ma3；需按义项和常用词复核读音排序。|含繁体/异体：嗎；需复核简繁对应、异体来源和义项是否完全合并。
448,吧,U+5427,吧,,,ba5|ba1,口,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,语气助词|酒吧等音译用字,吧：现代主要用于表示语气助词；酒吧等音译用字。常见用法如：好吧、走吧、吧台、酒吧、网吧。,好吧|走吧|吧台|酒吧|网吧,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：ba5、ba1；需按义项和常用词复核读音排序。
449,呢,U+5462,呢,,,ne5|ni2,口,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,语气助词|呢绒读音,呢：现代主要用于表示语气助词；呢绒读音。常见用法如：你呢、怎么呢、呢子、花呢、着呢。,你呢|怎么呢|呢子|花呢|着呢,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：ne5、ni2；需按义项和常用词复核读音排序。
450,啊,U+554A,啊,,,a5|a1|a2|a3|a4,口,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,叹词|语气助词,啊：现代主要用于表示叹词；语气助词。常见用法如：好啊、啊呀、啊哟、啊哈、是啊。,好啊|啊呀|啊哟|啊哈|是啊,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：a5、a1、a2、a3、a4；需按义项和常用词复核读音排序。
451,呀,U+5440,呀,,,ya5|ya1,口,7,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,语气助词|叹词,呀：现代主要用于表示语气助词；叹词。常见用法如：好呀、哎呀、呀呀、来呀、看呀。,好呀|哎呀|呀呀|来呀|看呀,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：ya5、ya1；需按义项和常用词复核读音排序。
452,啦,U+5566,啦,,,la5|la1,口,11,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,语气助词|啦啦队等音节用字,啦：现代主要用于表示语气助词；啦啦队等音节用字。常见用法如：好啦、来啦、走啦、啦啦队、哗啦。,好啦|来啦|走啦|啦啦队|哗啦,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：la5、la1；需按义项和常用词复核读音排序。
453,由,U+7531,由,,,you2,田,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,原因|从|经过|听任,由：现代主要用于表示原因；从；经过；听任。常见用法如：由于、理由、自由、由来、经由。,由于|理由|自由|由来|经由,draft,pending,pending,pending,none,history_pending,
454,像,U+50CF,像,,,xiang4,亻,13,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,相似|比如|人物图形,像：现代主要用于表示相似；比如；人物图形。常见用法如：好像、画像、图像、像样、肖像。,好像|画像|图像|像样|肖像,draft,pending,pending,pending,none,history_pending,
455,似,U+4F3C,似,,,si4|shi4,亻,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,像|好像|似的读音,似：现代主要用于表示像；好像；似的读音。常见用法如：似乎、相似、类似、好似、似的。,似乎|相似|类似|好似|似的,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：si4、shi4；需按义项和常用词复核读音排序。
456,带,U+5E26,帶,U+5E36,帶:U+5E36,dai4,巾,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,带子|携带|引导|区域,带：现代主要用于表示带子；携带；引导；区域。常见用法如：带来、带领、地带、带动、皮带。,带来|带领|地带|带动|皮带,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：帶；需复核简繁对应、异体来源和义项是否完全合并。
457,切,U+5207,切,,,qie1|qie4,刀,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,用刀分开|贴近|急切|一切读音,切：现代主要用于表示用刀分开；贴近；急切；一切读音。常见用法如：一切、亲切、切开、切实、急切。,一切|亲切|切开|切实|急切,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：qie1、qie4；需按义项和常用词复核读音排序。
458,周,U+5468,周,,,zhou1,口,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,周围|周到|一圈|星期|朝代或姓氏,周：现代主要用于表示周围；周到；一圈；星期；朝代或姓氏。常见用法如：周围、周末、周到、周期、周边。,周围|周末|周到|周期|周边,draft,pending,pending,pending,none,history_pending,
459,术,U+672F,術,U+8853,術:U+8853,shu4|zhu2,木,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,技艺方法|学术|方术|白术读音,术：现代主要用于表示技艺方法；学术；方术；白术读音。常见用法如：技术、艺术、学术、手术、白术。,技术|艺术|学术|手术|白术,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：shu4、zhu2；需按义项和常用词复核读音排序。|含繁体/异体：術；需复核简繁对应、异体来源和义项是否完全合并。
460,反,U+53CD,反,,,fan3,又,4,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,相反|翻转|反对|返回,反：现代主要用于表示相反；翻转；反对；返回。常见用法如：反对、反映、相反、反复、反正。,反对|反映|相反|反复|反正,draft,pending,pending,pending,none,history_pending,
461,例,U+4F8B,例,,,li4,亻,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,例子|惯例|按例,例：现代主要用于表示例子；惯例；按例。常见用法如：例如、例子、比例、条例、例外。,例如|例子|比例|条例|例外,draft,pending,pending,pending,none,history_pending,
462,质,U+8D28,質,U+8CEA,質:U+8CEA,zhi4,贝,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,本体本性|质量|质问|抵押,质：现代主要用于表示本体本性；质量；质问；抵押。常见用法如：质量、性质、物质、素质、质疑。,质量|性质|物质|素质|质疑,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：質；需复核简繁对应、异体来源和义项是否完全合并。
463,量,U+91CF,量,,,liang4|liang2,里,12,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,多少的数值|估计|测量|器量,量：现代主要用于表示多少的数值；估计；测量；器量。常见用法如：质量、数量、力量、测量、大量。,质量|数量|力量|测量|大量,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：liang4、liang2；需按义项和常用词复核读音排序。
464,服,U+670D,服,,,fu2|fu4,月,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,衣服|服从|佩服|服药|量词读音,服：现代主要用于表示衣服；服从；佩服；服药；量词读音。常见用法如：服务、衣服、服从、舒服、服药。,服务|衣服|服从|舒服|服药,draft,pending,pending,pending,needs_review,polyphonic|history_pending,多音字：fu2、fu4；需按义项和常用词复核读音排序。
465,务,U+52A1,務,U+52D9,務:U+52D9,wu4,力,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,事情|从事|追求|必须,务：现代主要用于表示事情；从事；追求；必须。常见用法如：服务、任务、业务、务必、事务。,服务|任务|业务|务必|事务,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：務；需复核简繁对应、异体来源和义项是否完全合并。
466,传,U+4F20,傳,U+50B3,傳:U+50B3,chuan2|zhuan4,亻,6,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,传递|流传|传授|传记读音,传：现代主要用于表示传递；流传；传授；传记读音。常见用法如：传统、宣传、传说、传递、传记。,传统|宣传|传说|传递|传记,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：chuan2、zhuan4；需按义项和常用词复核读音排序。|含繁体/异体：傳；需复核简繁对应、异体来源和义项是否完全合并。
467,基,U+57FA,基,,,ji1,土,11,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,基础|起头的|化学中基本成分,基：现代主要用于表示基础；起头的；化学中基本成分。常见用法如：基础、基地、基本、基层、基金。,基础|基地|基本|基层|基金,draft,pending,pending,pending,none,history_pending,
468,础,U+7840,礎,U+790E,礎:U+790E,chu3,石,10,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,垫在柱下的石头|基础,础：现代主要用于表示垫在柱下的石头；基础。常见用法如：基础、础石、经济基础、基础课、基石。,基础|础石|经济基础|基础课|基石,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：礎；需复核简繁对应、异体来源和义项是否完全合并。
469,影,U+5F71,影,,,ying3,彡,15,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,影子|影像|电影|影响相关,影：现代主要用于表示影子；影像；电影；影响相关。常见用法如：影响、电影、影子、摄影、身影。,影响|电影|影子|摄影|身影,draft,pending,pending,pending,none,history_pending,
470,响,U+54CD,響,U+97FF,響:U+97FF,xiang3,口,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,声音回声|发出声音|影响,响：现代主要用于表示声音回声；发出声音；影响。常见用法如：影响、响声、音响、响应、响亮。,影响|响声|音响|响应|响亮,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：響；需复核简繁对应、异体来源和义项是否完全合并。
471,处,U+5904,處,U+8655,處:U+8655,chu4|chu3,夂,5,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,地方|机关部门|相处|处理,处：现代主要用于表示地方；机关部门；相处；处理。常见用法如：地方、处处、处理、相处、处长。,地方|处处|处理|相处|处长,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：chu4、chu3；需按义项和常用词复核读音排序。|含繁体/异体：處；需复核简繁对应、异体来源和义项是否完全合并。
472,选,U+9009,選,U+9078,選:U+9078,xuan3,辶,9,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,挑选|选举|选辑,选：现代主要用于表示挑选；选举；选辑。常见用法如：选择、选手、选举、挑选、入选。,选择|选手|选举|挑选|入选,draft,pending,pending,pending,needs_review,variant_or_traditional|history_pending,含繁体/异体：選；需复核简繁对应、异体来源和义项是否完全合并。
473,择,U+62E9,擇,U+64C7,擇:U+64C7,ze2|zhai2,扌,8,《新华字典》,现代义项含义参考《新华字典》释义体系整理；当前为项目改写摘要，非逐字原文。,挑选|选择|择菜读音,择：现代主要用于表示挑选；选择；择菜读音。常见用法如：选择、择业、抉择、择日、择菜。,选择|择业|抉择|择日|择菜,draft,pending,pending,pending,needs_review,polyphonic|variant_or_traditional|history_pending,多音字：ze2、zhai2；需按义项和常用词复核读音排序。|含繁体/异体：擇；需复核简繁对应、异体来源和义项是否完全合并。
